objectid,title,creator,author,date,display_date,description,subject,location,latitude,longitude,source,type,format,filename,format,filename
ML_abr_2005,CIUDAD Y ESCUELA. La mística del tejido,Revista Mundo Lector,Rafael Ayala Sáenz,2005-04,abril de 2005,"Este artículo propone una reflexión crítica sobre la desconexión entre el sistema educativo contemporáneo y la vida, en contraste con la visión holística de los pueblos indígenas americanos. A partir del pensamiento complejo de Edgar Morin, el autor reivindica una pedagogía integradora que teja vínculos entre escuela, ciudad, naturaleza y universo.",Mundo Lector; Investigación; Educación; Pensamiento Complejo; Pedagogía Crítica; Ciudad y Escuela; Currículo Escolar; Cosmovisión Indígena; Sistemas de Conocimiento; Crítica Educativa; Urbanismo; Interdisciplinariedad; Cultura Mesoamericana; Heurística; Holística; Tejido Social,"Usme, Bogotá, Colombia","450,841,958","-74,113,916","Revista Mundo Lector, abril 2005",text,application/pdf,ML_abr_2005.pdf,application/pdf,ML_abr_2005.pdf
ML_abr_2009,Evaluar es valorar: Implicaciones y observaciones de un eslogan publicitario,Revista Mundo Lector,Rafael Ayala Sáenz,2009-04,abril de 2009,"Artículo que analiza la evaluación educativa como acto de valoración contextual, criticando los tests estandarizados y proponiendo una visión evaluadora centrada en habilidades reflexivas y múltiples inteligencias según Howard Gardner. Examina cómo los juicios valorativos reflejan escalas culturales y generan impactos sociales.",Mundo Lector; Educación; Evaluación Educativa; Valoración; Escalas de Valor; Tests Estandarizados; Inteligencias Múltiples; Howard Gardner; Guillermo Torres Zambrano; Pedagogía Crítica; Sociología Educativa; Juicios de Valor; Contexto Cultural,"Bogotá, Colombia","47,125,798","-74,085,045","Revista Mundo Lector, abril 2009",text,application/pdf,ML_abr_2009.pdf,application/pdf,ML_abr_2009.pdf
ML_ago-sep_2008,"Relaciones peligrosas. Por qué no es razonable desarticular a los funcionarios administrativos de los procesos académicos, pedagógicos, investigativos y de extensión que se desarrollan en la educación superior.",Revista Mundo Lector,Rafael Ayala Sáenz,2008-08,agosto a septiembre del 2008,"Reflexión crítica sobre el papel estratégico de los funcionarios administrativos en la vida universitaria. El texto propone una visión sistémica de la universidad que integre docencia, investigación, extensión y administración.",Mundo Lector; Educación; Educación Superior; Universidad; Administración; Políticas educativas; Gestión institucional,"Bogotá, Colombia","47,125,798","-74,085,045","Revista Mundo Lector, agosto-septiembre de 2008",text,application/pdf,ML_ago-sep_2008.pdf,application/pdf,ML_ago-sep_2008.pdf
ML_ago_2006,Sentidos para la pertenencia,Revista Mundo Lector,Rafael Ayala Sáenz,2006-08,agosto de 2006,"Análisis sobre el sentido de pertenencia en el ámbito laboral, explorando su relación con la realización personal y los objetivos empresariales. Examina estrategias para construir cohesión organizacional mediante inteligencia emocional, comunicación transparente y diseño de entornos que impacten positivamente en las sensaciones y emociones de los empleados.",Mundo Lector; Pertenencia; Clima Laboral; Inteligencia Emocional; Comunicación Corporativa; Liderazgo; Gestión Empresarial; Relaciones Laborales; Daniel Goleman; Motivación; Trabajo en Equipo; Cultura Organizacional; Cohesión; Bienestar Laboral; Psicología Organizacional,"Bogotá, Colombia","47,125,798","-74,085,045","Revista Mundo Lector, agosto 2006",text,application/pdf,ML_ago_2006.pdf,application/pdf,ML_ago_2006.pdf
ML_ago_2007,Orígenes del español (tercera parte),Revista Mundo Lector,Rafael Ayala Sáenz,2007-08,agosto de 2007,"Ensayo sobre el origen del español escrito, centrado en las Glosas Emilianenses y Silenses. Se analiza cómo estas anotaciones tempranas revelan el surgimiento del castellano como lengua escrit",Mundo Lector; Historia del español; Glosas Emilianenses; Lingüística histórica; Patrimonio cultural; Lengua escrita,"Bogotá, Colombia","47,125,798","-74,085,045","Revista Mundo Lector, agosto de 2007",text,application/pdf,ML_ago_2007.pdf,application/pdf,ML_ago_2007.pdf
ML_dic-ene_2009,¿Poder para qué?,Revista Mundo Lector,Rafael Ayala Sáenz,2008-12,diciembre de 2008 a enero de 2009,Crítica social al modelo económico neoliberal y sus impactos en la educación y la condición humana en Colombia. Aboga por un currículo que enfrente la realidad nacional y no la reproduzca acríticamente.,Mundo Lector; Neoliberalismo; Currículo; Educación crítica; Condición humana; Derechos humanos,"Bogotá, Colombia","47,125,798","-74,085,045","Revista Mundo Lector, diciembre 2008 - enero 2009",text,application/pdf,ML_dic-ene_2009.pdf,application/pdf,ML_dic-ene_2009.pdf
ML_dic_2007,Periodistas y comunicadores sociales (segunda parte),Revista Mundo Lector,Rafael Ayala Sáenz,2007-12,diciembre de 2007,Segunda parte de una serie sobre el rol de periodistas y comunicadores sociales como formadores. Explora cómo el cerebro humano procesa la realidad y genera información que puede ser comunicada.,Mundo Lector; Comunicación; Neurociencia; Educación; Pensamiento crítico; Representación mental,"Bogotá, Colombia","47,125,798","-74,085,045","Revista Mundo Lector, diciembre de 2007",text,application/pdf,ML_dic_2007.pdf,application/pdf,ML_dic_2007.pdf
ML_ene_2007,Lectura de signos visibles e invisibles,Revista Mundo Lector,Rafael Ayala Sáenz,2007-01,enero de 2007,"Ensayo semiótico sobre el vestido como construcción cultural. Se aborda cómo el ser humano viste su cuerpo y su entorno para comunicar estatus, poder e identidad, más allá de la función utilitaria del vestuario.",Mundo Lector; Vestuario; Semiótica; Identidad; Cultura material; Poder; Estética social,"Bogotá, Colombia","47,125,798","-74,085,045","Revista Mundo Lector, enero de 2007",text,application/pdf,ML_ene_2007.pdf,application/pdf,ML_ene_2007.pdf
ML_ene_2008,Periodistas y comunicadores sociales (tercera parte),Revista Mundo Lector,Rafael Ayala Sáenz,2008-01,enero de 2008,"Análisis del marco legal del periodismo en Colombia, desde la Ley 51 de 1975 hasta su declaración de inconstitucionalidad. Reflexión sobre la libertad de expresión y el rol del periodista en la democracia.",Mundo Lector; Periodismo; Libertad de expresión; Ley 51; Colombia; Historia del periodismo,"Bogotá, Colombia","47,125,798","-74,085,045","Revista Mundo Lector, enero de 2008",text,application/pdf,ML_ene_2008.pdf,application/pdf,ML_ene_2008.pdf
ML_feb_2005,Una mirada a los pilares de la civilización maya,Revista Mundo Lector,Rafael Ayala Sáenz,2005-02,febrero de 2005,"Artículo sobre la cosmovisión de la civilización Maya, destacando su estructura cosmológica, el papel del sacrificio, el conocimiento astronómico y los calendarios que usaban para organizar su tiempo y vida social.",Mundo Lector; Civilización maya; Cosmovisión; Astronomía prehispánica; Calendario; Cultura mesoamericana,"Bogotá, Colombia","47,125,798","-74,085,045","Revista Mundo Lector, febrero de 2005",text,application/pdf,ML_feb_2005.pdf,application/pdf,ML_feb_2005.pdf
ML_feb_2006,Aproximación didáctica al pensamiento complejo de Edgar Morin,Revista Mundo Lector,Rafael Ayala Sáenz,2006-02,febrero de 2006,"Introducción didáctica al pensamiento complejo de Edgar Morin, con énfasis en sus principios clave y su aplicación a la comprensión de la realidad desde una mirada crítica, integradora y relacional.",Mundo Lector; Pensamiento complejo; Edgar Morin; Epistemología; Educación; Teoría del conocimiento,"Bogotá, Colombia","47,125,798","-74,085,045","Revista Mundo Lector, febrero de 2006",text,application/pdf,ML_feb_2006.pdf,application/pdf,ML_feb_2006.pdf
ML_feb_2007,Algunos inventos para medir el inasible tiempo,Revista Mundo Lector,Rafael Ayala Sáenz,2007-02,febrero de 2007,"Recorrido histórico por los primeros instrumentos para medir el tiempo, como Stonehenge y el calendario muisca, mostrando su importancia para la agricultura, la religión y la organización social.",Mundo Lector; Medición del tiempo; Stonehenge; Calendario muisca; Historia de la ciencia; Arqueoastronomía,"Bogotá, Colombia","47,125,798","-74,085,045","Revista Mundo Lector, febrero de 2007",text,application/pdf,ML_feb_2007.pdf,application/pdf,ML_feb_2007.pdf
