objectid,title,creator,author,date,display_date,description,subject,location,latitude,longitude,source,object_location,rights,type,format
1989-07-18_rocknacional,En Ancón 18 años. 10 horas de rock nacional,Periódico El Colombiano,Anónimo,10/08/1989,18 de agosto de 1989,"Este artículo describe las dificultades históricas del rock en Colombia desde el Festival de Ancón de 1971, considerado un hito pero también un fracaso organizativo y económico. A partir de este antecedente, se anuncia el evento “Concierto de la Independencia”, concebido con tres propósitos: (1) presentar únicamente grupos colombianos para independizarse de la dependencia cultural de las agrupaciones extranjeras, bajo los lemas “No a la música extranjera”, “No a la droga” y “No a la dependencia”; (2) conmemorar el Día de la Independencia, previsto inicialmente para el 20 de julio pero reprogramado debido al fallecimiento del gobernador Roldán Betancur; y (3) celebrar los 18 años del Festival de Ancón, considerados su mayoría de edad simbólica. El artículo destaca además la intención de proyectar una gira nacional e internacional con las bandas participantes, entre ellas Kraken, Eros, Fénix, Escape, Alerta Roja, Kronos, René Toro, Pablus Gallinazo y Alfredo de la Fe",Concierto de rock en español; Concierto de rock Colombiano; Auge del rock en Colombia; Gonzalo Caro Maya; Concierto de la Independencia; Festival de Ancón; Rock colombiano; Independencia cultural; No a la música extranjera; No a la droga; No a la dependencia; Kraken; Eros; Fénix; Escape; Alerta Roja; Kronos; René Toro; Pablus Gallinazo; Alfredo de la Fe,"Medellín, Plaza de Toros La Macarena",6.244.444,-75.578.611,"Periódico El Colombiano, pág. 7B",No aplica,Derechos periódico El Colombiano,Image,image/jpeg
1989-07-22_conciertorocknacional,Concierto de rock nacional,Periódico El Tiempo,Anónimo,18/05/1991,18 de mayo de 1991,"La nota anuncia la realización de un concierto de rock colombiano en la Plaza de Toros, con la participación de las agrupaciones Excalibur, Kraken, Escape, Hangar 27, Signos Vitales y Café Expres. Se resalta la importancia de Kraken como uno de los grupos más consolidados del país, recién llegados de una gira por Venezuela en la que fueron recibidos como estrellas. Café Expres presenta parte de su más reciente disco de larga duración, publicado el año anterior, mientras que Excalibur es descrito como una banda con un estilo heavy de carácter comercial. El artículo refleja el impulso del rock nacional como propuesta de mercado y como alternativa cultural frente a la música extranjera.",Concierto De Rock Nacional; Rock Colombiano; Plaza De Toros; Mercado Musical; Heavy Comercial; Gira Internacional; Kraken; Excalibur; Escape; Hangar 27; Signos Vitales; Café Expres,"Medellín, Plaza de Toros La Macarena",6.244.444,-75.578.611,"Periódico El Tiempo, pág. 3B",No aplica,Derechos periódico El Tiempo,Image,image/jpeg
1993-07-09_zigma,Zigma,Periódico El Espectador,Tatiana Munévar Bahamón,09/07/1993,9 de julio de 1993,"El artículo presenta a la agrupación bogotana Zigma, conformada por jóvenes músicos entre 17 y 20 años: Manuel Gamboa (voz), Camilo Sanabria (teclados), Miguel Ramón (guitarra), Omar López (bajo), Fernando Rincón (batería) y Rodrigo Campos (saxo). Su historia comienza en 1990 como una iniciativa escolar en el Colegio San Carlos de Bogotá, y pronto evolucionó hacia un proyecto consolidado en la escena del rock nacional. Tras múltiples ensayos y presentaciones, lograron debutar oficialmente en el concurso ""Nuestro Rock"" en 1992, con la canción “Vida Extraña”, obteniendo reconocimiento del jurado y del público. El artículo resalta la energía juvenil del grupo, su proyección artística y la expectativa frente a la grabación de su primer material discográfico. Se enmarca a Zigma dentro del auge de bandas emergentes de comienzos de los años noventa, consideradas protagonistas de la renovación del rock colombiano.",Zigma; Rock colombiano; Nuestro Rock; Bandas emergentes; Escena bogotana; Vida Extraña; Juventud y rock; Renovación cultural,"Chía, Teatro Los Ladrillos",4.859.722,-74.058.611,"Periódico El Espectador, pág. 8C",No aplica,Derechos periódico El Espectador,Image,image/jpeg
1989-08-20_queremosrockenespanol,El deshielo del rock en español,Periódico El Colombiano,Ana Victoria Ochoa,20/08/1989,20 de agosto de 1989,"El artículo reflexiona sobre el auge del rock en español en Latinoamérica a finales de los años ochenta, destacando la influencia de grupos como Los Prisioneros, Hombres G, Los Toreros Muertos, Los Fabulosos Cadillacs, Miguel Mateos y Soda Stereo. Se plantea la necesidad de construir una identidad cultural propia a través de la música, diferenciándose del dominio anglosajón representado por bandas como The Beatles, Rolling Stones y Bob Dylan. La autora subraya que el rock en español surge como un movimiento juvenil con mensajes sociales y políticos que buscan responder a la realidad latinoamericana y consolidar un espacio cultural alternativo.",El deshielo del rock en español; Rock latinoamericano; Identidad cultural; Rock juvenil; Rock político; Los Prisioneros; Hombres G; Los Toreros Muertos; Los Fabulosos Cadillacs; Miguel Mateos; Soda Stereo; The Beatles; Rolling Stones; Bob Dylan,"Medellín, Colombia",6.251.840,-75.563.590,"Periódico El Colombiano, El Colombianito pág. 7C
pág. 7",No aplica,Derechos periódico El Colombiano,Image,image/jpeg
1992-11-30_gunsnroses,Concierto de Guns N’ Roses en Bogotá: Diez puntos a la organización,Periódico El Tiempo,Anónimo,30/11/1992,30 de noviembre de 1992,"La crónica reseña el concierto de Guns N’ Roses en el Estadio El Campín de Bogotá, considerado uno de los espectáculos mejor organizados hasta el momento en la ciudad. Se resalta la logística en el ingreso del público, la seguridad y la disposición del escenario, lo que permitió una experiencia positiva para los asistentes. El evento reunió a miles de fanáticos y es recordado como un hito en la historia de los grandes conciertos internacionales en Colombia.",Guns N’ Roses; Rock Internacional; Conciertos En Bogotá; Estadio El Campín; Organización De Eventos; Logística De Conciertos; Rock En Los Noventa; Kronos,"Bogotá, Estadio El Campín",4.646.389,-74.078.611,"Periódico El Tiempo, pág. 21A",No aplica,Derechos periódico El Tiempo,Image,image/jpeg
1986-11-05_3diasdejazz,"3 días con clásica, jazz y rock",Periódico El Espectador,Ángela María González,05/11/1986,5 de noviembre de 1986,"Nota cultural que anuncia tres jornadas de conciertos en el Teatro Colsubsidio y la Sala de Conciertos de la Biblioteca Luis Ángel Arango, con presencia de Hugo Timmer y el pianista argentino Luis Ángel Aránguiz. El evento combina música clásica, jazz y rock, con la participación de la agrupación bogotana Compañía Ilimitada como representante del rock nacional. El artículo resalta la importancia de legitimar el “pop en español” en Colombia, abriendo espacio a fusiones y nuevos géneros. Se destaca la pluralidad cultural de Bogotá y la necesidad de atraer públicos diversos hacia una escena musical más amplia.","Conciertos de jazz, rock y clásica; Compañía Ilimitada; Hugo Timmer; Biblioteca Luis Ángel Arango; Teatro Colsubsidio; Pop en español; Fusión de géneros; Bogotá cultural","Bogotá, Colombia",4.596.389,-74.081.667,"Periódico El Espectador, Guía Cultural pág. 5B",No aplica,Derechos periódico El Espectador,Image,image/jpeg
1988-09-19_noaladrogaconcierto,¡“No a la droga”!… pero se fumaron hasta la gramilla,Periódico El Siglo,Anónimo,19/09/1988,19 de septiembre de 1988,"Crónica sobre el concierto “Bogotá en armonía” realizado en el Estadio El Campín bajo el lema oficial de “No a la droga”, patrocinado por Coca-Cola y la Alcaldía Mayor. El artículo describe la contradicción entre el discurso institucional y la realidad de consumo de alcohol y marihuana durante el evento, que reunió a miles de jóvenes en una jornada de 14 horas de rock. Destaca la participación de Los Prisioneros de Chile, la presentación de José Feliciano y la expectativa en torno a Miguel Mateos. Se señala la tensión entre los mensajes antidroga y la vivencia juvenil, marcada por excesos, improvisación logística y un ambiente festivo que se extendió hasta la madrugada.",Concierto “Bogotá en armonía”; No a la droga; Rock en español; Los Prisioneros; Miguel Mateos; José Feliciano; Juventud y drogas; Estadio El Campín; Cultura juvenil ochentera,"Bogotá, Estadio El Campín",4.646.389,-74.078.611,"Periódico El Siglo, pág. 2A",No aplica,Derechos periódico El Siglo,Image,image/jpeg
1995-05-30_rockparquealturabogota,Los rockeros de Bogotá estuvieron a la altura,Periódico El Tiempo,Anónimo,30/05/1995,30 de mayo de 1995,"Crónica del Encuentro de Rock al Parque realizado en la Plaza de Toros La Santamaría, con presencia de bandas internacionales (Fobia de México y Seguridad Social de España) y cinco agrupaciones bogotanas (Mario Hábil, Ex-3, 1280 Almas, La Derecha y Aterciopelados). El artículo describe la intensidad del público, cerca de seis mil personas, la entrega de los músicos y la organización técnica del evento, destacando cómo los jóvenes vivieron un puente festivo de rock sin interrupciones. Resalta además la madurez y comportamiento positivo de los asistentes, rompiendo prejuicios sobre el rock como espacio de violencia.",Encuentro De Rock Al Parque; Fobia; Seguridad Social; Mario Hábil; Ex-3; 1280 Almas; La Derecha; Aterciopelados; Plaza De Toros La Santamaría; Juventud Bogotana; Cultura Rock; Rock No Violencia,"Bogotá, Plaza de Toros Santamaría",4.651.389,-74.069.444,Periódico El Tiempo pág. 12-A,No aplica,Derechos periódico El Tiempo,Image,image/jpeg
1994-09-11_1280almas,1280 Almas poseídas por el espíritu del rock,Periódico El Tiempo,Anónimo,11/09/1994,11 de septiembre de 1994,"Perfil de la agrupación bogotana 1280 Almas, descrita como heredera del espíritu del rock nacional y de una tradición de mezcla entre punk, ritmos tropicales y música popular. El artículo destaca la publicación de su primer disco “Háblame de horror”, editado bajo el sello Culebra, y la visión del grupo como un proyecto independiente del underground bogotano. Se menciona la formación integrada por Fernando del Castillo, Pablo Kalmanovitz, Leonardo López, Juan Carlos Rojas, Hernando Sierra y Andrés Vargas. El texto resalta la autenticidad, la intensidad lírica y la voluntad de los músicos de recuperar su inversión económica a través de la venta directa de copias, reafirmando la filosofía autogestionada del rock colombiano de los noventa.",1280 Almas; Háblame De Horror; Rock Colombiano; Underground Bogotano; Rock Y Punk; Ritmos Tropicales; Fernando Del Castillo; Pablo Kalmanovitz; Leonardo López; Juan Carlos Rojas; Hernando Sierra; Andrés Vargas; Sello Culebra; Bogotá Rock Noventero,"Bogotá, Colombia",4.596.389,-74.081.667,"Periódico El Tiempo, pág. 3C",No aplica,Derechos periódico El Tiempo,Image,image/jpeg
1988-09-18_bogotavibro,Bogotá vibró con rock y armonía,Periódico El Tiempo,Maria Cristina Guerrero,18/09/1988,18 de septiembre de 1988,"Crónica del festival “Bogotá en armonía”, realizado en el Estadio El Campín bajo el lema “No a la droga”. El evento reunió a más de 50.000 jóvenes en una jornada de catorce horas, marcada por el patrocinio de Coca-Cola y la Alcaldía Mayor. Participaron figuras internacionales como Los Prisioneros (Chile), Miguel Mateos (Argentina) y José Feliciano (Puerto Rico), junto a un cartel nacional que incluyó a Kraken, Compañía Ilimitada, Océano, Nash, Maskhadov y Pasaporte. El artículo describe la potencia de Kraken como banda insignia del hard rock colombiano y el entusiasmo juvenil que convirtió el concierto en un hito cultural, pese a la contradicción entre el lema antidrogas y el consumo de marihuana y alcohol.",Bogotá En Armonía; Concierto De Rock En Español; Rock Colombiano; Rock Nacional; Hard Rock; Kraken; Compañía Ilimitada; Océano; Nash; Maskhadov; Pasaporte; Los Prisioneros; Miguel Mateos; José Feliciano; Juventud Y Drogas; Estadio El Campín; Cultura Juvenil Ochentera; No A La Droga; Bogotá En Armonía,"Bogotá, Estadio El Campín",4.646.389,-74.078.611,Periódico El Tiempo pág. Última B,No aplica,Derechos periódico El Tiempo,Image,image/jpeg
