objectid,filename,title,creator,author,date,display_date,year,decade,description,subject,genre,location,latitude,longitude,source,type,format,rights,object_location
1985-03-16_batallabandas,1985-03-16_batallabandas.jpg,Batalla de las Bandas,Periódico El Mundo,Anónimo,16/3/1985,16 de marzo de 1985,1985,1980s,"El artículo retrata la efervescencia del movimiento rockero en Medellín durante la primera mitad de los años ochenta a través del concurso “La Batalla de las Bandas”, organizado por Veracruz Stéreo, J.I.V. y El Mundo. En un contexto urbano marcado por la violencia y la precariedad cultural, la nota recoge las voces de jóvenes que encontraron en el rock, especialmente en el heavy metal, una forma de expresión identitaria y de resistencia. Las bandas participantes —Glostergladiato, Mierda, Kraken y Lasser— representan distintos matices de la escena local: desde la crudeza simbólica de Mierda hasta la búsqueda de profesionalización de Lasser. El texto visibiliza la tensión entre el entusiasmo creativo de los músicos y los prejuicios sociales que vinculaban el rock con la marginalidad o el caos. A través de los testimonios, se percibe la necesidad de afirmación generacional, la creación de una estética propia y la intención de resignificar el metal como lenguaje de libertad. Esta nota constituye una de las primeras huellas periodísticas de la consolidación del heavy metal paisa y de la emergencia de un público juvenil dispuesto a apropiarse de nuevos espacios sonoros.",La Batalla de las Bandas; Medellín; Veracruz Estéreo; J.I.V. Ltda.; El Mundo; Heavy Metal; Glostergladiato; Mierda; Kraken; Lasser; Juventud; Identidad; Cultura urbana; Resistencia cultural; Escena musical; Polideportivo de Envigado; Década de 1980; Prensa local; Rock colombiano,Reportaje,"Medellín, Colombia",6.2443677,-75.6636154,"El Mundo, pág. 5B",Image,image/jpeg,© Derechos de autor pertenecen al periódico El Mundo. Uso académico sin fines comerciales.,
1985-03-23_festivaldebandas,1985-03-23_festivaldebandas.jpg,Festival de Bandas: Rock para todos los gustos,Periódico El Mundo,Anónimo,23/3/1985,23 de marzo de 1985,1985,1980s,"La nota documenta el auge de la escena musical en Medellín durante 1985, cuando el entusiasmo del público llevó a trasladar el Festival de Bandas de Rock al coliseo La Macarena. El artículo se centra en dos agrupaciones emblemáticas: Parabellum, pionera del metal extremo latinoamericano, y Spol, banda juvenil de rock suave que simboliza la diversidad del movimiento local. A través de sus declaraciones, el texto revela la coexistencia de dos sensibilidades: la radicalidad sonora que denuncia la guerra y la contaminación, y la apuesta melódica por un rock cotidiano, sin pretensiones ideológicas. La prensa, al registrar este contraste, deja ver cómo el rock se transformaba en un laboratorio de expresión social donde convivían la autogestión, el amateurismo y el deseo de profesionalización. La pieza muestra el surgimiento de una identidad musical urbana que buscaba reconocimiento en medio de la marginalidad mediática y el escepticismo institucional.",Festival de Bandas; Medellín; la Macarena; Parabellum; Spol; Veracruz Estéreo; J.I.V. Ltda.; El Mundo; Metal Extremo; Rock Suave; Juventud; Autogestión Musical; Cultura urbana; Década de 1980; Conciertos; Prensa Cultural; Rock colombiano; Danger; Clostridrix; Láser; Excalibur; Masacre; Kraken; Plaza de Toros La Macarena; Conciertos de Rock; Metal Colombiano; Cultura Rock Paisa.,Crónica,"Plaza de Toros La Macarena, Medellín",6.2501034,-75.5828645,"El Mundo, pág. 5B",Image,image/jpeg,© Derechos de autor pertenecen al periódico El Mundo. Uso académico sin fines comerciales.,
1985-03-25_explosionlibertad,1985-03-25_explosionlibertad.jpg,Una explosión de libertad… ¡Vigilada!,Periódico La Prensa,Fernando Cadavid Pérez,25/3/1985,25 de marzo de 1985,1985,1980s,"El artículo describe con intensidad el Festival de las Bandas de Rock celebrado en Medellín, convertido en un escenario de exaltación juvenil y confrontación social. La cobertura, firmada por El Mundo, muestra cómo el evento reunió a miles de jóvenes que buscaban en la música un espacio de libertad en medio de la represión cultural y el miedo urbano de la época. La narración de los disturbios, la intervención policial y el caos final pone de relieve la tensión entre la euforia colectiva y el control institucional. En medio del desorden, las actuaciones de grupos como Parabellum, Glostergladiato, Lasser, Danger y Spol evidencian la diversidad sonora del rock nacional y su poder simbólico como forma de resistencia. El texto funciona como una crónica generacional que registra el momento en que el rock colombiano se hace visible como fenómeno social, pero también como expresión vigilada por el orden moral y político.",Festival de las Bandas; Medellín; Parabellum; Glostergladiato; Lasser; Spol; Danger; Violencia; Juventud; Libertad; Represión Policial; Cultura urbana; Conciertos; Década de 1980; El Mundo; Prensa Cultural; Rock colombiano; Cultura Juvenil; Vigilancia; Conciertos Masivos; Libertad Condicionada; Bogotá; Rock Al Parque; Expresión Colectiva.,Crónica,"Plaza de Toros La Macarena, Medellín",6.2501034,-75.5828645,"El Mundo, pág. 4B",Image,image/jpeg,© Derechos de autor pertenecen al periódico El Mundo. Uso académico sin fines comerciales.,
1989-06-21_hombresgcolombia,1989-06-21_hombresgcolombia.jpg,Hombres G después de conquistar a Colombia,Periódico El Colombiano,Sandra Yineth Sánchez W.,21/6/1986,21 de junio de 1989,1986,1980s,"Esta entrevista con los integrantes del grupo español Hombres G marca un momento clave en la expansión del rock en español como fenómeno continental. Publicada en 1989, durante la gira del grupo por varias ciudades de Colombia, la nota refleja el entusiasmo por una generación que comenzaba a identificarse con el pop-rock en su propio idioma. Las declaraciones de los músicos sobre la “perestroika” y sus planes de cantar en ruso, italiano y portugués revelan el alcance global de este movimiento cultural. El artículo se inscribe en una etapa donde los medios colombianos asumían el rock en español no como una moda extranjera, sino como parte de la renovación estética de la juventud urbana. En su tono optimista, la pieza proyecta una idea de modernidad y conexión con el mundo hispano que anticipa la internacionalización del pop iberoamericano a finales de la década.",Hombres G; España; Gira internacional; Colombia; Rock en español; Pop-Rock; Medios de Comunicación; Juventud; Perestroika; Internacionalización Cultural; Década de 1980; Entrevistas; Rock Internacional en Colombia; Gira en Colombia; Bogotá; Medellín; Pop-Rock Español; Cultura Juvenil; Rock Latinoamericano.,Crónica,"Bogotá D. C., Colombia",4.6207812,-74.0822653,"El Colombiano, El Colombianito pág. 3",Image,image/jpeg,© Derechos de autor pertenecen al periódico El Colombiano. Uso académico sin fines comerciales.,
1986-11-07_sodastereomedellin,1986-11-07_sodastereomedellin.jpg,"En Medellín, Soda Estero",Periódico El Colombiano,Anónimo,7/11/1986,7 de noviembre de 1986,1986,1980s,"El artículo presenta a Soda Stéreo como símbolo de la renovación estética del rock latinoamericano. Publicado en 1985, destaca la profesionalización del grupo argentino, su contrato con CBS-Colombia y el éxito del álbum Nada Personal, que consolidó su proyección continental. El texto enfatiza el alto nivel técnico y escénico del trío integrado por Gustavo Cerati, Zeta Bosio y Charly Alberti, subrayando su influencia sobre los públicos juveniles de la región. A través de la mirada periodística, Medellín se representa como una ciudad expectante ante la llegada de una banda que redefinía el lugar del rock en español dentro del circuito internacional. La nota contribuye a comprender cómo los medios locales participaron en la circulación del pop-rock latino, al tiempo que legitimaban un nuevo canon musical alternativo al anglosajón.",Soda Stéreo; Gustavo Cerati; Zeta Bosio; Charly Alberti; Argentina; Medellín; Cbs-Colombia; Nada Personal; Pop-Rock; Juventud; Medios de Comunicación; Década de 1980; Música Latinoamericana; Rock Internacional en Colombia; Tecnología Musical; Cultura Pop; Rock Latinoamericano.,Reseña,"Medellín, Colombia",6.2443677,-75.6636154,"El Colombiano, El Colombiano pág. 2C",Image,image/jpeg,© Derechos de autor pertenecen al periódico El Colombiano. Uso académico sin fines comerciales.,
1986-11-07_conciertoalianza,1986-11-07_conciertoalianza.jpg,Concierto de Pop en Español,Periódico El Tiempo,Anónimo,7/11/1986,7 de noviembre de 1986,1986,1980s,"La nota anuncia el “Concierto de la Alianza”, un evento que reunió en la Feria Exposición Internacional a Compañía Ilimitada (Colombia) y Soda Stéreo (Argentina), exponentes del naciente pop en español. Más que una simple agenda, el texto revela la intención de legitimar este género dentro de la programación cultural de grandes escenarios, en un momento en que el pop-rock latino buscaba reconocimiento comercial y artístico. El artículo destaca la integración de elementos visuales, sonoros y tecnológicos en el espectáculo, prefigurando un modelo de producción musical profesional. En su brevedad, la noticia deja entrever el tránsito del rock nacional desde la autogestión juvenil hacia la industria del entretenimiento, conectando a Medellín con los circuitos internacionales del pop latinoamericano.",Concierto de la Alianza; Feria Exposición Internacional; Medellín; Compañía Ilimitada; Soda Stéreo; Pop en Español; Espectáculo Musical; Industria Cultural; Década de 1980; Rock colombiano; Rock Internacional en Colombia; Gustavo Cerati; Zeta Bosio; Charly Alberti; Plaza de Toros; Rock argentino; Pop Colombiano; Conciertos Internacionales.,Noticia,"Plaza de Toros La Macarena, Medellín",6.2501034,-75.5828645,"El Tiempo, pág. 1C",Image,image/jpeg,© Derechos de autor pertenecen al periódico El Tiempo. Uso académico sin fines comerciales.,
1986-11-07_sodamacarena,1986-11-07_sodamacarena.jpg,Soda: Argentina en La Macarena,Periódico El Mundo,María Victoria Trujillo  y Jorge Humberto Sierra Bono,7/11/1986,7 de noviembre de 1986,1986,1980s,"El artículo ofrece una cobertura previa y contextual del concierto de Soda Stereo en la Plaza de Toros La Macarena de Medellín, enmarcando a la banda dentro de la “nueva ola argentina” y del proceso de internacionalización del rock en español. El texto subraya la estética posmoderna del grupo, la profesionalización técnica del show y el papel de los medios locales (radio, televisión y sonoclips) en la creación de audiencias juveniles. Discursivamente, trabaja el encuentro transnacional entre Argentina y Colombia como signo de modernidad urbana y de consumo cultural en los años ochenta, enfatizando las expectativas de espectáculo, orden y puntualidad, y contrastando la imagen sofisticada de la banda con el entorno social de la ciudad. Asimismo, incluye detalles sobre repertorio, producción y logística, situando el evento como un hito en la regionalización de los circuitos de conciertos en Colombia. En conjunto, la nota destaca el éxito internacional de Soda Stereo, su influencia en el rock latinoamericano y su impacto en el público colombiano, construyendo una narrativa de expansión continental en la que el grupo encarna una estética refinada y una sonoridad que redefine el rock en español.",Soda Stereo; la Macarena; Medellín; Rock argentino; Tabla de Éxitos; Cultura Musical; Conciertos Internacionales; Rock Latinoamericano; Prensa Cultural,Reportaje,"Plaza de Toros La Macarena, Medellín",6.2501034,-75.5828645,"El Mundo, pág. 4B",Image,image/jpeg,© Derechos de autor pertenecen al periódico El Mundo. Uso académico sin fines comerciales.,
1986-11-08_companiacartas,1986-11-08_companiacartas.jpg,"Compañía Ilimitada, cartas sobre la mesa",Periódico El Espectador,Anónimo,8/11/1986,8 de noviembre de 1986,1986,1980s,"Este artículo registra un momento decisivo en la profesionalización del rock colombiano: la consolidación de Compañía Ilimitada como banda de proyección nacional e internacional. Luego de más de una década de trayectoria, el grupo inicia una nueva etapa bajo la asesoría del productor inglés Andrew Loog Oldham, figura emblemática de la industria musical y exmanager de los Rolling Stones. El texto enfatiza la búsqueda de un sonido competitivo y la asociación con Soda Stéreo en una gira conjunta por Bogotá y Medellín. Más allá del anuncio, la nota revela la voluntad del rock nacional por insertarse en los circuitos de producción global, dejando atrás la precariedad técnica y simbólica de los primeros años. Este registro de prensa da cuenta del diálogo entre las escenas latinoamericanas y del papel de Compañía Ilimitada como puente entre el rock artesanal y la modernidad mediática de los años ochenta.",Compañía Ilimitada; Andrew Loog Oldham; Rolling Stones; Soda Stéreo; Bogotá; Medellín; Producción Musical; Industria Discográfica; Rock colombiano; Profesionalización; Década de 1980; Conciertos; Prensa Cultural; Rock Internacional en Colombia; Juan Manuel Pulido “Juancho”; Camilo Jaramillo “Pyyo”; Feria Exposición de Bogotá; Álbum Musical.,Reseña,Feria Exposición Internacional,4.6306075,74.0929633,El Espectador pág. 6,Image,image/jpeg,© Derechos de autor pertenecen al periódico El Espectador. Uso académico sin fines comerciales.,
1987-04-07_rockdeporaca,1987-04-07_rockdeporaca.jpg,Rock de por acá,Revista Semana,Anónimo,7/4/1987,7 de abril de 1987,1987,1980s,"El artículo traza una genealogía del rock hecho en Colombia y sitúa su “tercera generación” en la mitad de los años ochenta, cuando el paso del circuito de bares y garajes a escenarios públicos y al radar de las disqueras, en especial CBS, configura un punto de inflexión. En diálogo con críticos y músicos, la nota subraya que cantar en español funciona como gesto de identidad y vía de masificación, al tiempo que ubica el Primer Festival de Rock Colombiano en la Media Torta como ritual de aparición en la esfera pública. El texto reconstruye antecedentes (Los Flippers, Speakers, Banda Nueva) y muestra cómo la autogestión juvenil se articula con una naciente infraestructura profesional (taller de CBS, managers, prensa cultural). La entrevista a Andrew Loog Oldham y las voces de Manolo Bellón subrayan que la clave no es la moda, sino la combinación entre composición propia, disciplina y confianza para sostener un proyecto cultural. En conjunto, el artículo documenta la transición desde lo “subterráneo” hacia una escena con ambición de mercado y legitimidad simbólica, que redefine el lugar de la juventud y de sus sonidos en la ciudad.",Bogotá; la Media Torta; Primer Festival de Rock Colombiano; Autoteatro; Instituto Distrital de Cultura y Turismo; CBS; Compañía Ilimitada; Grafiti; Sociedad Anónima; Relax; Eclipse; Naturaleza; Manolo Bellón; Andrew Loog Oldham; Historia del Rock en Colombia; Masificación; Industria Musical; Prensa Cultural; Rock colombiano; Festival de Rock Colombiano; Escena Nacional; Rock de Bogotá; Rock de Medellín; Rock Ochentero; Semana; Encuentro Sonoro; la Píldora Filosófica; Cultura Juvenil; Identidad Musical; Público Rockero,Crónica,Teatro al Aire Libre La Media Torta,4.6003444,-74.0659169,"Revista Semana, sección Cultura pág. 66",Image,image/jpeg,© Derechos de autor pertenecen a la Revista Semana. Uso académico sin fines comerciales.,https://www.semana.com/cultura/articulo/rock-de-por-aca/8866-3
1987-04-10_mediatortarock,1987-04-10_mediatortarock.jpg,Festival de Rock en la Media Torta,Periódico El Tiempo,Anónimo,10/4/1987,10 de abril de 1987,1987,1980s,"Crónica del primer día del Primer Festival de Rock Colombiano en la Media Torta, narrada con énfasis en corporalidades, códigos estéticos y recepción juvenil. El artículo reconstruye el “segundo debut” del rock nacional ante un público capitalino multitudinario y diverso, y destaca la decisión programática de todas las bandas de cantar en español y componer su propio repertorio para desmontar la asociación prensa-rock con alcohol y drogas. La cobertura subraya el carácter interciudades como Cali, Medellín, Armenia, Bogotá y la logística compartida entre organizadores, IDCT, Policía Metropolitana y Defensa Civil, como señal de una institucionalización incipiente del género. La pieza aporta evidencias sobre identidad generacional, legitimación ante medios y gramáticas del espectáculo, (sonido, performances, participación del público), útiles para análisis de prensa, políticas culturales y sociologías de la música urbana.",Bogotá; la Media Torta; Producciones Acción; Autoteatro; Idct; Kraken; Oxmosis; Kronos; Faos; Coda; Yagebanda; Eclipse; Samadhi; Naturaleza; Ovejas Negras; Cíclope; Sociedad Anónima; Graffiti; Relax; Compañía Ilimitada; Kocoa; Festivales; Cartel; Espacio Público; Rock colombiano; Hora Local; la Pestilencia; Superestación.,Crónica,Teatro al Aire Libre La Media Torta,4.6003444,-74.0659169,"El Tiempo, pág. 1C y 4C",Image,image/jpeg,© Derechos de autor pertenecen al periódico El Tiempo. Uso académico sin fines comerciales.,
