"objectid","object_location","exists_exact","status","suggested_file"
"1985-03-16_batallabandas","","False","EmptyObjectLocation",""
"1985-03-23_festivaldebandas","","False","EmptyObjectLocation",""
"1985-03-25_explosionlibertad","","False","EmptyObjectLocation",""
"1989-06-21_hombresgcolombia","","False","EmptyObjectLocation",""
"1986-11-07_sodastereomedellin","","False","EmptyObjectLocation",""
"1986-11-07_conciertoalianza","","False","EmptyObjectLocation",""
"1986-11-07_sodamacarena","","False","EmptyObjectLocation",""
"1986-11-08_companiacartas","","False","EmptyObjectLocation",""
"1987-04-07_rockdeporaca","https://www.semana.com/cultura/articulo/rock-de-por-aca/8866-3","False","MatchByObjectId","1987-04-07_rockdeporaca.jpg"
"1987-04-10_mediatortarock","","False","EmptyObjectLocation",""
"1987-04-11_invasionmetal","","False","EmptyObjectLocation",""
"1987-07-04_conciertoamistad","","False","EmptyObjectLocation",""
"1988-30-01_contactoilimitado","","False","EmptyObjectLocation",""
"1988-02-18_genesisnormal","","False","EmptyObjectLocation",""
"1988-03-06_rocknacionalenellimbo","","False","EmptyObjectLocation",""
"1988-25-03_danger","","False","EmptyObjectLocation",""
"1988-04-08_rockpaisabogota","","False","EmptyObjectLocation",""
"1988-04-10_rockanrol","","False","EmptyObjectLocation",""
"1988-04-10_nuevaola","","False","EmptyObjectLocation",""
"1988-05-08_companiailimitada","","False","EmptyObjectLocation",""
"1988-08-14_nuevocomienzo","","False","EmptyObjectLocation",""
"1988-09-02_descargarock","","False","EmptyObjectLocation",""
"1988-09-3_companiacontacto","","False","EmptyObjectLocation",""
"1988-09-03_esplendordelrock","","False","EmptyObjectLocation",""
"1998-09-04_explosionlatino","","False","EmptyObjectLocation",""
"1988-09-09_companiailimitada","","False","EmptyObjectLocation",""
"1988-09-11_contactorock","","False","EmptyObjectLocation",""
"1988-09-11_bogotacapitalrock","","False","EmptyObjectLocation",""
"1988-09-13_queremosrock","https://www.semana.com/cultura/articulo/queremos-rock/10813-3/","False","EmptyObjectLocation",""
"1988-09-15_bogotaconcierto","","False","EmptyObjectLocation",""
"1988-09-15_torerosmuertos","","False","EmptyObjectLocation",""
"1988-09-15_furormusica","","False","EmptyObjectLocation",""
"1988-09-16_invasion","","False","EmptyObjectLocation",""
"1986-08-17_tenemosrock","","False","EmptyObjectLocation",""
"1988-09-17_diaamorrock","","False","EmptyObjectLocation",""
"1988-09-18_bogotavibro","","False","EmptyObjectLocation",""
"1988-09-18_bogotaatodorock","","False","EmptyObjectLocation",""
"1988-09-18_unasolavoz","","False","EmptyObjectLocation",""
"1988-09-19_bogotarmonia","","False","EmptyObjectLocation",""
"1988-09-19_noaladrogaconcierto","","False","EmptyObjectLocation",""
"1988-09-21_derrocherock","","False","EmptyObjectLocation",""
"1988-09-22_ensenanzas","","False","EmptyObjectLocation",""
"1988-23-09_signosrockeros","","False","EmptyObjectLocation",""
"1988-09-23_carcelrocklibertad","","False","EmptyObjectLocation",""
"1988-09-23_torerosvivo","","False","EmptyObjectLocation",""
"1988-09-30_miguelmateoscapitan","","False","EmptyObjectLocation",""
"1988-10-01_fiestarockcontinua","","False","EmptyObjectLocation",""
"1988-10-01_laprensaoye","","False","EmptyObjectLocation",""
"1988-10-09_espanolvoltaje","","False","EmptyObjectLocation",""
"1988-10-10_nomadadelrock","","False","EmptyObjectLocation",""
"1988-10-14_sodastereo","","False","EmptyObjectLocation",""
"1988-10-16_sociedadanonima","","False","EmptyObjectLocation",""
"1988-10-17_elsapasaporte","","False","EmptyObjectLocation",""
"1988-10-20_santana","","False","EmptyObjectLocation",""
"1988-10-28_rockbrujas","","False","EmptyObjectLocation",""
"1988-11-09_especialrock","","False","EmptyObjectLocation",""
"1988-11-09_pasaporte","","False","EmptyObjectLocation",""
"1989-01-22_rocknacional","","False","EmptyObjectLocation",""
"3-02-1989_rockenespanol","","False","EmptyObjectLocation",""
"1989-02-07_quietriot","","False","EmptyObjectLocation",""
"1989-02-09_quietriotmedellin","","False","EmptyObjectLocation",""
"1989-02-09_quietriotbogota","","False","EmptyObjectLocation",""
"1989-02-09_quietriotfuria","","False","EmptyObjectLocation",""
"1989-02-20_locaspasiones","","False","EmptyObjectLocation",""
"1989-02-27_contactovillavo","","False","EmptyObjectLocation",""
"1989-03-15_hombresgcolegiales","","False","EmptyObjectLocation",""
"1989-04-12_obstinatomedellin","","False","EmptyObjectLocation",""
"1989-04-23_loshippies","","False","EmptyObjectLocation",""
"1989-04-22_rockacido","","False","EmptyObjectLocation",""
"1989-04-23_ruido","","False","EmptyObjectLocation",""
"1899-05-10_charlygarcia","","False","EmptyObjectLocation",""
"1989-07-18_rocknacional","","False","EmptyObjectLocation",""
"1989-08-12_woodstockaire","","False","EmptyObjectLocation",""
"1989-08-13_acidezsesentas","","False","EmptyObjectLocation",""
"1989-08-15_radioactivamedellin","","False","EmptyObjectLocation",""
"1989-08-15_comoacabarconelrock","","False","EmptyObjectLocation",""
"1989-08-17_zuguyciclope","","False","EmptyObjectLocation",""
"1989-08-17_ancón","","False","EmptyObjectLocation",""
"1989-08-18_lavozdeoriente","","False","EmptyObjectLocation",""
"1989-08-18_enanitosonda","","False","EmptyObjectLocation",""
"1989-08-18_macarenarock","","False","EmptyObjectLocation",""
"1989-08-20_queremosrockenespanol","","False","EmptyObjectLocation",""
