"objectid","object_location","exists_exact","absolute_path"
"1985-03-16_batallabandas","","False",
"1985-03-23_festivaldebandas","","False",
"1985-03-25_explosionlibertad","","False",
"1989-06-21_hombresgcolombia","","False",
"1986-11-07_sodastereomedellin","","False",
"1986-11-07_conciertoalianza","","False",
"1986-11-07_sodamacarena","","False",
"1986-11-08_companiacartas","","False",
"1987-04-07_rockdeporaca","https://www.semana.com/cultura/articulo/rock-de-por-aca/8866-3","False",".\objects\8866-3"
"1987-04-10_mediatortarock","","False",
"1987-04-11_invasionmetal","","False",
"1987-07-04_conciertoamistad","","False",
"1988-30-01_contactoilimitado","","False",
"1988-02-18_genesisnormal","","False",
"1988-03-06_rocknacionalenellimbo","","False",
"1988-25-03_danger","","False",
"1988-04-08_rockpaisabogota","","False",
"1988-04-10_rockanrol","","False",
"1988-04-10_nuevaola","","False",
"1988-05-08_companiailimitada","","False",
"1988-08-14_nuevocomienzo","","False",
"1988-09-02_descargarock","","False",
"1988-09-3_companiacontacto","","False",
"1988-09-03_esplendordelrock","","False",
"1998-09-04_explosionlatino","","False",
"1988-09-09_companiailimitada","","False",
"1988-09-11_contactorock","","False",
"1988-09-11_bogotacapitalrock","","False",
"1988-09-13_queremosrock","https://www.semana.com/cultura/articulo/queremos-rock/10813-3/","True",".\objects\"
"1988-09-15_bogotaconcierto","","False",
"1988-09-15_torerosmuertos","","False",
"1988-09-15_furormusica","","False",
"1988-09-16_invasion","","False",
"1986-08-17_tenemosrock","","False",
"1988-09-17_diaamorrock","","False",
"1988-09-18_bogotavibro","","False",
"1988-09-18_bogotaatodorock","","False",
"1988-09-18_unasolavoz","","False",
"1988-09-19_bogotarmonia","","False",
"1988-09-19_noaladrogaconcierto","","False",
"1988-09-21_derrocherock","","False",
"1988-09-22_ensenanzas","","False",
"1988-23-09_signosrockeros","","False",
"1988-09-23_carcelrocklibertad","","False",
"1988-09-23_torerosvivo","","False",
"1988-09-30_miguelmateoscapitan","","False",
"1988-10-01_fiestarockcontinua","","False",
"1988-10-01_laprensaoye","","False",
"1988-10-09_espanolvoltaje","","False",
"1988-10-10_nomadadelrock","","False",
"1988-10-14_sodastereo","","False",
"1988-10-16_sociedadanonima","","False",
"1988-10-17_elsapasaporte","","False",
"1988-10-20_santana","","False",
"1988-10-28_rockbrujas","","False",
"1988-11-09_especialrock","","False",
"1988-11-09_pasaporte","","False",
"1989-01-22_rocknacional","","False",
"3-02-1989_rockenespanol","","False",
"1989-02-07_quietriot","","False",
"1989-02-09_quietriotmedellin","","False",
"1989-02-09_quietriotbogota","","False",
"1989-02-09_quietriotfuria","","False",
"1989-02-20_locaspasiones","","False",
"1989-02-27_contactovillavo","","False",
"1989-03-15_hombresgcolegiales","","False",
"1989-04-12_obstinatomedellin","","False",
"1989-04-23_loshippies","","False",
"1989-04-22_rockacido","","False",
"1989-04-23_ruido","","False",
"1899-05-10_charlygarcia","","False",
"1989-07-18_rocknacional","","False",
"1989-08-12_woodstockaire","","False",
"1989-08-13_acidezsesentas","","False",
"1989-08-15_radioactivamedellin","","False",
"1989-08-15_comoacabarconelrock","","False",
"1989-08-17_zuguyciclope","","False",
"1989-08-17_ancón","","False",
"1989-08-18_lavozdeoriente","","False",
"1989-08-18_enanitosonda","","False",
"1989-08-18_macarenarock","","False",
"1989-08-20_queremosrockenespanol","","False",
"1989-08-25_elrocktenecesita","","False",
"1989-08-25_caifanes","","False",
"1989-08-25_anconcantidadycalidad","","False",
"1989-11-03_alertaroja","","False",
"1989-12-06_sabelamusicarock","","False",
"1989-12-06_lambadarock","","False",
"1989-12-06_krakenbatalla","","False",
"1990-03-15_estadosalterados","","False",
"1990-07-15_laderecha","","False",
"1990-11-15_companiailimitada","","False",
"1990-11-16_comprometidos","","False",
"1993-06-20_krakentitanes","https://www.eltiempo.com/archivo/documento/MAM-282731","False",".\objects\MAM-282731"
"1990-11-30_paisilimitado","","False",
"1991-01-18_horalocalmuleta","","False",
"1991-02-08_companiamas","","False",
"8-05-1991_estadosalteradosvida","","False",
"1991-05-16_signosvitales","","False",
"1991-05-17_informationsociety","https://www.eltiempo.com/archivo/documento/MAM-84687","False",".\objects\MAM-84687"
"1990-02-18_informationsociety","","False",
"1991-05-17_technosociety","","False",
"1991-05-18_superuff","","False",
"1991-05-18_erickrockolo","","False",
"1989-07-22_conciertorocknacional","","False",
"1991-05-22_todaslasvoces","","False",
"1991-05-22_informationsociety","","False",
"1991-05-22_informaticaalterada","","False",
"1991-05-24_megabitfilosofico","","False",
"1991-06-02_rockeroseerespete","","False",
"1987-07-17_sodamedellin","","False",
"1991-06-14_calimetalero","","False",
"1988-09-16_tecnoestadosalterados","","False",
"1991-07-19_vuelveeltitan","","False",
"1991-07-10_estadotecno","","False",
"1991-07-20_comunasalegria","","False",
"1991-07-23_rockdebarrio","","False",
"1991-07-25_aceroymetal","","False",
"1992-11-13_dardos","","False",
"1992-15-11_masgunsqueroses","","False",
"1992-11-17_axlrebeldia","","False",
"1992-11-20_rebeldescausa","","False",
"1992-11-21_elcamello","","False",
"1992-11-21_axlslash","","False",
"1992-11-21_gunsnhistoria","","False",
"1992-11-21_fechasdelrock","","False",
"1992-11-26_faxmillonario","","False",
"1992-11-27_gunsnews","","False",
"1992-11-27_porfin","","False",
"1992-27-11_gunsempresa","","False",
"1992-11-28_gunsaplazado","","False",
"1992-11-28_gunsnrosesnoche","","False",
"1992-11-30_gunsndiez","","False",
"1992-12-1_gunsnroses","","False",
"1992-12-01_desconcierto","","False",
"1992-12-01_gunsnroseslluvia","https://www.eltiempo.com/archivo/documento/MAM-195047","False",".\objects\MAM-195047"
"1992-12-04_capsulasradioactivas","","False",
"1992-12-04_rocknoviolencia","","False",
"1992-12-06_letsgetcrazy","","False",
"1992-12-06_ritualrock","","False",
"1992-12-06_rockydisturbios","","False",
"1992-12-06_golalrock","","False",
"1992-12-07_visosrock","","False",
"1992-15-12_tutelarock","","False",
